image_name,image_path,class,fold
Abyssinian_1,./data/resized_images/trainval/Abyssinian_1.jpg,1.0,trainval
Abyssinian_10,./data/resized_images/trainval/Abyssinian_10.jpg,1.0,trainval
Abyssinian_100,./data/resized_images/trainval/Abyssinian_100.jpg,1.0,trainval
Abyssinian_101,./data/resized_images/trainval/Abyssinian_101.jpg,1.0,trainval
Abyssinian_102,./data/resized_images/trainval/Abyssinian_102.jpg,1.0,trainval
Abyssinian_103,./data/resized_images/trainval/Abyssinian_103.jpg,1.0,trainval
Abyssinian_104,./data/resized_images/trainval/Abyssinian_104.jpg,1.0,trainval
Abyssinian_105,./data/resized_images/trainval/Abyssinian_105.jpg,1.0,trainval
Abyssinian_106,./data/resized_images/trainval/Abyssinian_106.jpg,1.0,trainval
Abyssinian_107,./data/resized_images/trainval/Abyssinian_107.jpg,1.0,trainval
Abyssinian_108,./data/resized_images/trainval/Abyssinian_108.jpg,1.0,trainval
Abyssinian_109,./data/resized_images/trainval/Abyssinian_109.jpg,1.0,trainval
Abyssinian_11,./data/resized_images/trainval/Abyssinian_11.jpg,1.0,trainval
Abyssinian_110,./data/resized_images/trainval/Abyssinian_110.jpg,1.0,trainval
Abyssinian_111,./data/resized_images/trainval/Abyssinian_111.jpg,1.0,trainval
Abyssinian_112,./data/resized_images/trainval/Abyssinian_112.jpg,1.0,trainval
Abyssinian_113,./data/resized_images/trainval/Abyssinian_113.jpg,1.0,trainval
Abyssinian_114,./data/resized_images/trainval/Abyssinian_114.jpg,1.0,trainval
Abyssinian_115,./data/resized_images/trainval/Abyssinian_115.jpg,1.0,trainval
Abyssinian_116,./data/resized_images/trainval/Abyssinian_116.jpg,1.0,trainval
Abyssinian_117,./data/resized_images/trainval/Abyssinian_117.jpg,1.0,trainval
Abyssinian_118,./data/resized_images/trainval/Abyssinian_118.jpg,1.0,trainval
Abyssinian_119,./data/resized_images/trainval/Abyssinian_119.jpg,1.0,trainval
Abyssinian_12,./data/resized_images/trainval/Abyssinian_12.jpg,1.0,trainval
Abyssinian_120,./data/resized_images/trainval/Abyssinian_120.jpg,1.0,trainval
Abyssinian_121,./data/resized_images/trainval/Abyssinian_121.jpg,1.0,trainval
Abyssinian_122,./data/resized_images/trainval/Abyssinian_122.jpg,1.0,trainval
Abyssinian_123,./data/resized_images/trainval/Abyssinian_123.jpg,1.0,trainval
Abyssinian_124,./data/resized_images/trainval/Abyssinian_124.jpg,1.0,trainval
Abyssinian_125,./data/resized_images/trainval/Abyssinian_125.jpg,1.0,trainval
Abyssinian_126,./data/resized_images/trainval/Abyssinian_126.jpg,1.0,trainval
Abyssinian_127,./data/resized_images/trainval/Abyssinian_127.jpg,1.0,trainval
Abyssinian_128,./data/resized_images/trainval/Abyssinian_128.jpg,1.0,trainval
Abyssinian_129,./data/resized_images/trainval/Abyssinian_129.jpg,1.0,trainval
